main,probe,move,version,SP,numInsertions,trialsToRun,stopError,alpha,beta,queryPercentage,deletePercentage,randomSeed,nthreads,HashAttempts,InitSize,cooloff,enfTemp,tempvar,lines,Milliseconds-Min,Milliseconds-Max,Milliseconds-Range,Milliseconds-Avg,Milliseconds-Median,Milliseconds-SD,Milliseconds-TMin,Milliseconds-TMax,Milliseconds-TRange,Milliseconds-TAvg,Milliseconds-TMedian,Milliseconds-TSD,Memusage-Min,Memusage-Max,Memusage-Range,Memusage-Avg,Memusage-Median,Memusage-SD,Barrier Gap-Max->Min,Barrier Gap-Max->Median
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570360743,1,2,67108864,0,0,1.100000,2.000000,11272.280962,11286.759780,14.478818,11279.066428,11279.547704,4.580627,11273.274390,11284.087956,10.813566,11278.952942,11279.547704,3.614004,0.157757,0.157815,0.000058,0.157775,0.157775,0.000016,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570360929,1,1,16777216,0,0,1.100000,0.500000,11122.635056,11146.115364,23.480308,11133.817189,11134.172986,7.639184,11125.101562,11143.522064,18.420502,11133.677683,11134.172986,6.196072,0.126202,0.126232,0.000030,0.126214,0.126206,0.000008,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570361114,1,2,16777216,0,0,1.100000,0.500000,14833.719625,14875.990140,42.270515,14847.612530,14844.816024,12.467025,14835.055210,14860.185108,25.129898,14845.801942,14844.816024,8.137412,0.270402,0.270524,0.000123,0.270476,0.270477,0.000039,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570361334,1,1,16777216,0,0,1.100000,1.000000,12468.051265,12545.510852,77.459587,12528.331357,12533.491515,20.940557,12525.757434,12543.290463,17.533029,12533.718932,12533.491515,5.291942,0.126193,0.270472,0.144279,0.169480,0.126231,0.066097,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570361532,1,2,16777216,0,0,1.100000,1.000000,15979.273730,16031.282327,52.008597,16005.018182,16003.845474,15.579494,15985.338599,16021.760274,36.421675,16004.953220,16003.845474,11.589814,0.270429,0.270534,0.000105,0.270476,0.270478,0.000032,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570361765,1,1,16777216,0,0,1.100000,2.000000,14171.353109,14214.078024,42.724915,14199.616312,14203.191460,12.981201,14188.276883,14211.771806,23.494923,14201.341498,14203.191460,9.037117,0.270406,0.270495,0.000089,0.270457,0.270459,0.000029,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570361979,1,2,16777216,0,0,1.100000,2.000000,20131.588919,20205.340746,73.751827,20166.252885,20159.486778,29.081843,20134.006367,20201.023861,67.017494,20165.699898,20159.486778,26.752659,0.270426,0.270517,0.000091,0.270464,0.270469,0.000030,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570362252,1,1,262144,0,0,1.100000,0.500000,23149.589261,23859.161044,709.571783,23771.686897,23837.400877,207.474351,23835.591784,23845.496534,9.904750,23838.514833,23837.400877,2.980853,0.118414,0.118470,0.000056,0.118443,0.118452,0.000019,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570362563,1,2,262144,0,0,1.100000,0.500000,35756.701806,36408.307275,651.605469,36330.082074,36393.780680,191.425659,36374.703418,36405.778080,31.074662,36391.976458,36393.780680,10.644225,0.475070,0.475246,0.000176,0.475159,0.475210,0.000052,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570362997,1,1,262144,0,0,1.100000,1.000000,31381.159758,32883.530135,1502.370377,32646.931449,32756.470130,427.594387,32706.702751,32870.651776,163.949025,32775.578074,32756.470130,68.750501,0.237053,0.237165,0.000112,0.237121,0.237076,0.000030,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570363396,1,2,262144,0,0,1.100000,1.000000,46325.357529,46479.887702,154.530173,46394.874073,46404.459865,47.746527,46326.199588,46434.682219,108.482631,46392.936938,46404.459865,36.584528,0.475040,0.475282,0.000243,0.475155,0.475246,0.000066,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570363930,1,1,262144,0,0,1.100000,2.000000,43044.073175,43900.610904,856.537729,43726.860380,43762.008006,235.841138,43731.499346,43898.097136,166.597790,43790.489965,43762.008006,58.558752,0.237144,0.475259,0.238115,0.427595,0.356172,0.095218,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.500000,0.500000,1570364439,1,2,262144,0,0,1.100000,2.000000,72122.425434,72333.638449,211.213015,72192.723060,72166.465823,64.892593,72143.474389,72275.039492,131.565103,72183.895839,72166.465823,45.673056,0.475036,0.475256,0.000220,0.475141,0.475091,0.000060,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570365231,1,1,67108864,0,0,1.100000,0.500000,6737.873699,6750.385008,12.511309,6743.902949,6743.482066,4.491099,6739.241251,6750.289177,11.047926,6743.846348,6743.482066,3.925958,0.031712,0.031759,0.000046,0.031741,0.031735,0.000016,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570365371,1,2,67108864,0,0,1.100000,0.500000,10202.704880,10213.667107,10.962227,10207.865635,10208.116395,3.166033,10203.884195,10210.322298,6.438103,10207.785546,10208.116395,2.233155,0.031750,0.095290,0.063540,0.082550,0.095238,0.025400,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570365545,1,1,67108864,0,0,1.100000,1.000000,6486.919006,6491.125110,4.206104,6488.803310,6488.353895,1.530734,6487.204579,6490.896780,3.692201,6488.748623,6488.353895,1.344721,0.031720,0.095237,0.063517,0.063479,0.063495,0.031736,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570365681,1,2,67108864,0,0,1.100000,1.000000,10207.771073,10223.622072,15.850999,10215.829777,10215.871301,5.021093,10210.358752,10221.354740,10.995988,10215.863078,10215.871301,3.975587,0.095170,0.095268,0.000098,0.095220,0.095219,0.000031,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570365854,1,1,67108864,0,0,1.100000,2.000000,6465.289619,6472.680100,7.390481,6467.989203,6467.337138,1.900173,6466.831180,6469.582096,2.750916,6467.740289,6467.337138,0.888725,0.095206,0.095293,0.000087,0.095244,0.095233,0.000025,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570365990,1,2,67108864,0,0,1.100000,2.000000,10192.612555,10203.071215,10.458660,10196.429949,10195.957071,2.955776,10193.161364,10199.494504,6.333140,10196.076965,10195.957071,1.860458,0.095164,0.095289,0.000124,0.095229,0.095245,0.000034,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570366163,1,1,16777216,0,0,1.100000,0.500000,6280.195664,6296.237427,16.041763,6288.123396,6287.568205,4.878184,6281.963912,6294.436543,12.472631,6288.100109,6287.568205,3.695877,0.054382,0.054432,0.000050,0.054410,0.054396,0.000018,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570366297,1,2,16777216,0,0,1.100000,0.500000,9177.136384,9184.429000,7.292616,9181.273678,9181.957894,2.518477,9177.280879,9184.121302,6.840423,9181.396424,9181.957894,2.128189,0.126906,0.127006,0.000100,0.126957,0.126944,0.000032,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570366460,1,1,16777216,0,0,1.100000,1.000000,6191.576879,6206.960609,15.383730,6195.857172,6193.534547,5.059067,6191.709501,6203.542702,11.833201,6195.004279,6193.534547,3.682983,0.126873,0.127042,0.000169,0.126978,0.127031,0.000049,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570366593,1,2,16777216,0,0,1.100000,1.000000,9035.159946,9066.697021,31.537075,9048.251444,9044.007216,11.148454,9037.834461,9066.324566,28.490105,9047.582185,9044.007216,9.537232,0.126808,0.127049,0.000241,0.126969,0.127021,0.000065,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570366754,1,1,16777216,0,0,1.100000,2.000000,6158.273752,6165.762938,7.489186,6162.888700,6163.315501,1.999548,6161.044155,6164.725407,3.681252,6163.106288,6163.315501,1.120501,0.126890,0.127041,0.000151,0.126955,0.126940,0.000040,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570366886,1,2,16777216,0,0,1.100000,2.000000,8971.754498,8981.343247,9.588749,8975.288594,8975.349457,3.207193,8971.796912,8978.892716,7.095804,8974.973524,8975.349457,2.571917,0.380649,0.381103,0.000455,0.380894,0.380919,0.000155,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570367047,1,1,262144,0,0,1.100000,0.500000,9835.783712,10315.293603,479.509891,10205.854913,10237.777213,126.796993,10206.586019,10267.397995,60.811976,10238.433977,10237.777213,20.475869,0.191886,0.192077,0.000191,0.191968,0.191904,0.000062,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570367219,1,2,262144,0,0,1.100000,0.500000,12221.375678,12854.557126,633.181448,12765.268101,12822.406712,181.907230,12803.963168,12847.735233,43.772065,12822.093526,12822.406712,12.638605,0.386775,0.387069,0.000293,0.386914,0.386932,0.000094,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570367417,1,1,262144,0,0,1.100000,1.000000,11157.374652,11643.759826,486.385174,11552.521119,11583.999474,134.706052,11551.809067,11632.208952,80.399885,11590.509588,11583.999474,26.093537,0.191825,0.192126,0.000301,0.191967,0.191946,0.000089,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570367602,1,2,262144,0,0,1.100000,1.000000,16870.225764,17074.413481,204.187717,16979.227793,16970.633054,53.341005,16939.544567,17035.310024,95.765457,16980.954836,16970.633054,30.592092,0.386742,0.386950,0.000208,0.386861,0.386874,0.000067,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570367842,1,1,262144,0,0,1.100000,2.000000,16242.633571,16662.990448,420.356877,16605.737121,16654.674109,122.352800,16607.101505,16661.822732,54.721227,16643.968398,16654.674109,18.996380,0.386745,0.387270,0.000525,0.387051,0.387052,0.000144,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,64000000,10,0.000000,0.500000,0.500000,0.900000,0.900000,1570368079,1,2,262144,0,0,1.100000,2.000000,25949.832765,26122.575125,172.742360,26038.810411,26035.404706,50.512464,25985.420637,26106.229454,120.808817,26039.462027,26035.404706,36.363004,0.386522,0.387124,0.000603,0.386929,0.386856,0.000158,0.000000,0.000000
open,cache,remain,V0.2,OMR:V0.2/h:0.2,8000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570368409,8,1,67108864,0,0,1.100000,0.500000,2003.472047,2111.431206,107.959159,2038.465526,2034.525507,29.756381,2013.695225,2062.245028,48.549803,2033.719000,2034.525507,16.300506,0.062639,0.134230,0.071591,0.076958,0.098435,0.028635,0.999919,0.793398
open,cache,remain,V0.2,OMR:V0.2/h:0.2,8000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570368511,8,2,67108864,0,0,1.100000,0.500000,2289.027325,2387.730601,98.703276,2340.521565,2345.073362,30.891763,2290.078784,2378.282626,88.203842,2341.057216,2345.073362,24.135982,0.313197,0.313214,0.000017,0.313204,0.313204,0.000005,0.999911,0.656291
open,cache,remain,V0.2,OMR:V0.2/h:0.2,8000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570368609,8,1,67108864,0,0,1.100000,1.000000,2048.463768,2127.914700,79.450932,2085.955243,2088.059785,23.980881,2060.973626,2114.485585,53.511959,2085.396746,2088.059785,17.965677,0.134226,0.134232,0.000006,0.134228,0.134228,0.000002,0.999898,0.682187
open,cache,remain,V0.2,OMR:V0.2/h:0.2,8000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570368708,8,2,67108864,0,0,1.100000,1.000000,2296.498602,2390.511808,94.013206,2337.898625,2338.384349,28.629683,2300.338519,2360.252167,59.913648,2336.496980,2338.384349,21.502215,0.313199,0.313209,0.000009,0.313203,0.313200,0.000003,0.999915,0.871413
open,cache,remain,V0.2,OMR:V0.2/h:0.2,8000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570368805,8,1,67108864,0,0,1.100000,2.000000,2067.272500,2136.946838,69.674338,2093.683834,2089.246492,19.835402,2073.273454,2107.815936,34.542482,2091.577376,2089.246492,12.892287,0.313196,0.313211,0.000015,0.313200,0.313202,0.000004,0.999893,0.522109
open,cache,remain,V0.2,OMR:V0.2/h:0.2,8000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570368901,8,2,67108864,0,0,1.100000,2.000000,2324.502246,2426.036364,101.534118,2367.873920,2362.797451,32.582897,2328.130118,2419.438242,91.308124,2366.025074,2362.797451,25.800033,0.313189,0.313205,0.000016,0.313197,0.313197,0.000004,0.999920,0.691569
open,cache,remain,V0.2,OMR:V0.2/h:0.2,8000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570368999,8,1,16777216,0,0,1.100000,0.500000,2518.027715,2607.796422,89.768707,2561.077364,2557.164676,22.321032,2543.802199,2574.401792,30.599593,2560.618688,2557.164676,10.866572,0.121236,0.121243,0.000008,0.121240,0.121242,0.000002,0.999884,0.769507
open,cache,remain,V0.2,OMR:V0.2/h:0.2,8000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570369103,8,2,16777216,0,0,1.100000,0.500000,3565.377816,3623.903387,58.525571,3601.176172,3602.982458,16.863626,3586.805265,3621.787594,34.982329,3602.810064,3602.982458,11.315993,0.250556,0.250571,0.000015,0.250562,0.250560,0.000004,0.999938,0.642109
open,cache,remain,V0.2,OMR:V0.2/h:0.2,8000000,10,0.000000,0.500000,0.500000,0.000000,0.000000,1570369214,8,1,16777216,0,0,1.100000,1.000000,3115.683782,3268.308034,152.624252,3211.605011,3219.694006,41.003706,3179.749422,3257.683173,77.933751,3216.507287,3219.694006,22.925601,0.250555,0.250568,0.000013,0.250562,0.250557,0.000004,0.999909,0.811902
